job_id,company_id,posted_at,title,role_family,level,location_type,employment_type,salary_low,salary_high,status
34,37,2024-01-10 10:38:54,Implementation Engineer,engineering,mid,remote,full_time,126000,150000,open
35,234,2024-01-10 12:53:51,Operations Excellence Lead,operations,senior,onsite,part_time,111000,134000,open
36,157,2024-01-10 12:54:19,Business Intelligence Analyst,data,lead,onsite,full_time,204000,238000,filled
37,304,2024-01-10 14:21:07,Senior DevOps Engineer,engineering,senior,remote,full_time,150000,183000,open
38,127,2024-01-11 01:54:00,QA Automation Engineer,engineering,mid,hybrid,full_time,127000,162000,filled
39,71,2024-01-11 12:09:41,Implementation Project Manager,operations,lead,remote,full_time,136000,169000,filled
40,66,2024-01-11 14:40:03,Talent Acquisition Specialist,operations,senior,remote,full_time,109000,143000,filled
41,306,2024-01-12 04:03:25,Implementation Consultant,operations,senior,hybrid,full_time,115000,143000,closed
42,189,2024-01-12 04:11:11,Platform Reliability Engineer,engineering,senior,remote,full_time,154000,193000,open
43,105,2024-01-12 07:04:40,Security Engineer,engineering,senior,hybrid,full_time,150000,188000,filled
44,210,2024-01-12 08:36:05,Pricing Analyst,data,mid,hybrid,full_time,133000,168000,open
45,179,2024-01-12 18:42:12,Senior Data Scientist,data,junior,remote,full_time,94000,108000,closed
46,37,2024-01-13 00:08:42,Logistics Operations Manager,operations,mid,remote,full_time,84000,113000,paused
47,225,2024-01-13 02:02:08,Supply Chain Coordinator,operations,senior,remote,full_time,105000,134000,closed
48,39,2024-01-13 02:09:45,Enterprise Account Executive,operations,senior,onsite,full_time,107000,137000,open
49,64,2024-01-13 06:54:27,Supply Chain Coordinator,operations,senior,hybrid,full_time,114000,132000,paused
50,229,2024-01-13 12:22:18,Sales Development Representative,sales,mid,remote,full_time,106000,122000,open
51,143,2024-01-13 13:41:10,Implementation Project Manager,operations,senior,remote,full_time,111000,126000,open
52,72,2024-01-13 18:12:47,Senior DevOps Engineer,engineering,lead,hybrid,full_time,178000,223000,closed
53,22,2024-01-13 19:22:44,Healthcare Account Manager,operations,mid,remote,full_time,90000,107000,filled
54,190,2024-01-13 20:02:57,Solutions Consultant,operations,senior,hybrid,full_time,115000,129000,filled
55,224,2024-01-14 00:57:14,Cloud Infrastructure Engineer,engineering,senior,onsite,full_time,160000,183000,filled
56,65,2024-01-14 09:27:07,Growth Product Manager,product,senior,hybrid,full_time,142000,179000,paused
57,134,2024-01-14 16:42:06,Procurement Analyst,data,mid,remote,full_time,126000,156000,open
58,111,2024-01-14 23:44:42,Business Intelligence Analyst,data,senior,remote,full_time,171000,208000,filled
59,286,2024-01-15 01:29:30,Business Systems Administrator,operations,lead,remote,full_time,137000,152000,open
60,254,2024-01-15 02:56:23,Clinical Operations Analyst,operations,senior,hybrid,full_time,105000,136000,filled
61,88,2024-01-15 04:15:12,Cloud Infrastructure Engineer,engineering,lead,onsite,full_time,192000,215000,paused
62,165,2024-01-15 17:47:50,Product Manager,product,lead,remote,full_time,166000,212000,closed
63,296,2024-01-15 22:44:17,Implementation Consultant,operations,mid,hybrid,full_time,85000,109000,filled
64,111,2024-01-16 05:24:37,Mobile Engineer,engineering,senior,hybrid,full_time,160000,193000,filled
65,46,2024-01-16 13:03:33,Logistics Operations Manager,operations,mid,remote,full_time,90000,107000,open
66,96,2024-01-17 01:02:33,Growth Product Manager,product,lead,remote,full_time,172000,211000,filled
67,195,2024-01-17 04:39:19,Senior Data Scientist,data,junior,remote,full_time,99000,110000,paused
68,318,2024-01-17 06:09:37,Director of Customer Support,operations,mid,hybrid,contract,93000,108000,closed
69,99,2024-01-17 08:50:44,Lifecycle Marketing Manager,operations,lead,hybrid,full_time,126000,158000,open
70,19,2024-01-17 08:53:41,QA Automation Engineer,engineering,mid,hybrid,full_time,127000,156000,paused
71,59,2024-01-17 10:22:06,Customer Success Manager,customer_success,senior,onsite,full_time,108000,126000,closed
72,133,2024-01-17 10:28:41,Talent Acquisition Specialist,operations,mid,onsite,part_time,90000,112000,closed
73,31,2024-01-17 17:43:45,Senior Accountant,operations,lead,onsite,full_time,139000,159000,filled
74,12,2024-01-17 19:29:08,Regional Sales Manager,sales,lead,onsite,full_time,154000,177000,filled
75,210,2024-01-17 21:03:28,Technical Support Engineer,engineering,mid,onsite,full_time,120000,148000,closed
76,264,2024-01-17 23:17:41,Senior Accountant,operations,senior,onsite,full_time,107000,126000,open
77,75,2024-01-18 21:13:42,Sales Development Representative,sales,mid,hybrid,full_time,106000,124000,filled
78,168,2024-01-19 07:48:41,Product Manager,product,senior,onsite,full_time,154000,185000,filled
79,184,2024-01-19 12:03:48,FP&A Analyst,data,senior,onsite,full_time,156000,206000,filled
80,214,2024-01-19 16:56:17,Content Marketing Manager,operations,senior,hybrid,full_time,106000,133000,filled
81,314,2024-01-20 00:23:25,Enterprise Account Executive,operations,junior,hybrid,full_time,66000,75000,open
82,284,2024-01-20 10:23:44,Customer Success Manager,customer_success,mid,hybrid,full_time,81000,108000,filled
83,102,2024-01-20 15:03:39,Demand Generation Manager,operations,senior,onsite,full_time,105000,126000,filled
84,313,2024-01-20 18:23:14,Warehouse Systems Analyst,data,senior,hybrid,full_time,171000,196000,paused
85,12,2024-01-21 05:18:15,Security Engineer,engineering,mid,onsite,part_time,130000,160000,open
86,308,2024-01-21 19:15:52,Senior Backend Engineer,engineering,junior,onsite,full_time,94000,108000,closed
87,46,2024-01-22 03:13:40,Business Intelligence Analyst,data,mid,onsite,full_time,134000,152000,filled
88,37,2024-01-22 14:45:42,Implementation Project Manager,operations,senior,remote,full_time,108000,130000,filled
89,39,2024-01-22 16:15:38,Compliance Analyst,data,junior,hybrid,contract,99000,117000,paused
90,40,2024-01-22 16:55:50,Partner Success Manager,customer_success,mid,onsite,full_time,83000,98000,closed
91,149,2024-01-22 18:21:24,Pricing Analyst,data,lead,onsite,full_time,190000,242000,filled
92,205,2024-01-22 18:49:07,Sales Development Representative,sales,junior,onsite,full_time,76000,88000,open
93,239,2024-01-22 20:42:41,Implementation Project Manager,operations,senior,hybrid,full_time,113000,131000,filled
94,6,2024-01-23 03:53:14,Healthcare Account Manager,operations,mid,hybrid,full_time,93000,104000,filled
95,95,2024-01-23 04:53:18,Pricing Analyst,data,senior,remote,full_time,157000,207000,filled
96,43,2024-01-23 05:12:38,Compliance Analyst,data,senior,onsite,full_time,172000,196000,closed
97,47,2024-01-23 11:17:41,Compliance Analyst,data,lead,remote,full_time,198000,245000,paused
98,239,2024-01-23 15:13:55,Risk Operations Analyst,operations,mid,hybrid,contract,91000,107000,open
99,206,2024-01-23 16:40:13,Senior Accountant,operations,senior,onsite,full_time,116000,127000,filled
100,68,2024-01-24 14:56:54,Cloud Infrastructure Engineer,engineering,senior,hybrid,full_time,154000,188000,filled
101,97,2024-01-24 22:24:00,Technical Writer,operations,mid,remote,full_time,91000,108000,filled
102,296,2024-01-25 02:02:09,Platform Reliability Engineer,engineering,mid,remote,full_time,128000,152000,filled
103,185,2024-01-25 17:24:04,Demand Generation Manager,operations,junior,onsite,full_time,66000,81000,filled
104,77,2024-01-25 17:50:18,Operations Excellence Lead,operations,lead,hybrid,full_time,138000,169000,open
105,299,2024-01-26 01:46:40,Talent Acquisition Specialist,operations,senior,remote,full_time,113000,140000,open
106,64,2024-01-26 05:26:55,Technical Support Engineer,engineering,senior,hybrid,full_time,148000,191000,filled
107,94,2024-01-26 06:41:50,Security Engineer,engineering,senior,remote,full_time,150000,190000,filled
108,222,2024-01-26 07:17:28,People Operations Partner,operations,senior,onsite,full_time,116000,137000,filled
109,164,2024-01-26 11:59:48,Pricing Analyst,data,mid,remote,full_time,139000,156000,closed
110,23,2024-01-26 15:25:06,Operations Excellence Lead,operations,mid,remote,full_time,94000,113000,open
111,259,2024-01-26 20:23:39,Business Intelligence Analyst,data,senior,remote,full_time,155000,208000,filled
112,74,2024-01-27 09:23:18,Cloud Infrastructure Engineer,engineering,mid,hybrid,contract,124000,148000,filled
113,222,2024-01-27 22:01:18,Growth Product Manager,product,lead,hybrid,full_time,179000,223000,filled
114,108,2024-01-28 07:40:16,Lifecycle Marketing Manager,operations,senior,onsite,full_time,114000,141000,closed
115,241,2024-01-28 18:53:29,Warehouse Systems Analyst,data,mid,hybrid,full_time,126000,159000,open
116,288,2024-01-28 23:40:10,QA Automation Engineer,engineering,senior,remote,contract,158000,200000,open
117,248,2024-01-29 00:38:11,Partner Success Manager,customer_success,mid,remote,full_time,81000,97000,open
118,295,2024-01-29 11:46:59,Procurement Analyst,data,lead,remote,full_time,195000,222000,filled
119,173,2024-01-29 14:35:24,Staff Data Engineer,engineering,lead,onsite,full_time,181000,221000,open
120,21,2024-01-30 09:03:38,Business Intelligence Analyst,data,lead,remote,full_time,186000,239000,closed
121,172,2024-01-30 21:24:45,Senior Data Scientist,data,mid,onsite,full_time,126000,157000,paused
122,148,2024-01-30 21:29:22,Solutions Architect,operations,mid,remote,full_time,93000,115000,closed
123,231,2024-01-31 04:33:04,Business Intelligence Analyst,data,mid,remote,full_time,135000,155000,filled
124,80,2024-01-31 05:30:37,People Operations Partner,operations,junior,remote,full_time,67000,76000,closed
125,224,2024-01-31 07:58:28,Machine Learning Engineer,engineering,mid,remote,full_time,125000,155000,closed
126,142,2024-01-31 16:34:42,Senior Product Designer,product,junior,onsite,full_time,84000,96000,open
127,215,2024-01-31 18:27:34,Demand Generation Manager,operations,lead,hybrid,full_time,130000,165000,filled
128,135,2024-01-31 22:21:50,Pricing Analyst,data,junior,remote,full_time,96000,113000,filled
129,123,2024-02-01 12:04:26,Senior Backend Engineer,engineering,mid,hybrid,full_time,124000,162000,filled
130,69,2024-02-01 18:12:04,Platform Reliability Engineer,engineering,senior,hybrid,contract,160000,194000,paused
131,266,2024-02-01 19:52:56,Customer Success Manager,customer_success,senior,onsite,full_time,108000,120000,open
132,22,2024-02-01 20:17:58,Security Engineer,engineering,senior,onsite,full_time,162000,179000,filled
133,76,2024-02-01 23:50:31,Solutions Architect,operations,senior,hybrid,full_time,107000,127000,open
134,137,2024-02-02 06:00:57,HR Business Partner,operations,lead,onsite,full_time,132000,170000,closed
135,50,2024-02-02 13:04:51,QA Automation Engineer,engineering,senior,onsite,full_time,151000,194000,filled
136,294,2024-02-02 17:29:39,HR Business Partner,operations,senior,hybrid,full_time,105000,133000,open
137,111,2024-02-03 02:02:03,Partner Success Manager,customer_success,senior,hybrid,full_time,107000,122000,paused
138,78,2024-02-03 03:43:50,Implementation Project Manager,operations,mid,remote,full_time,90000,114000,filled
139,82,2024-02-03 05:15:06,Senior Data Scientist,data,mid,onsite,full_time,135000,154000,closed
140,62,2024-02-03 05:55:59,Accounting Manager,operations,mid,onsite,full_time,85000,111000,open
141,213,2024-02-03 07:00:38,Compliance Analyst,data,mid,remote,part_time,139000,166000,filled
142,155,2024-02-03 07:37:23,Growth Product Manager,product,senior,onsite,full_time,153000,172000,filled
143,74,2024-02-04 06:45:29,QA Automation Engineer,engineering,mid,onsite,full_time,125000,153000,open
144,280,2024-02-04 07:02:41,Supply Chain Coordinator,operations,mid,remote,full_time,93000,104000,filled
145,211,2024-02-04 10:17:46,Senior Frontend Engineer,engineering,mid,hybrid,full_time,122000,150000,open
146,129,2024-02-04 13:26:50,Solutions Consultant,operations,senior,onsite,full_time,113000,143000,paused
147,165,2024-02-04 23:09:35,Inventory Planning Manager,operations,mid,onsite,full_time,93000,111000,closed
148,210,2024-02-05 03:41:51,Operations Excellence Lead,operations,senior,remote,full_time,114000,141000,filled
149,49,2024-02-05 10:15:57,Senior Frontend Engineer,engineering,senior,remote,full_time,161000,190000,filled
150,259,2024-02-05 12:44:09,HR Business Partner,operations,junior,hybrid,full_time,64000,75000,filled
151,83,2024-02-05 13:57:58,Data Analyst,data,senior,remote,full_time,169000,204000,filled
152,10,2024-02-05 21:14:02,Logistics Operations Manager,operations,mid,remote,full_time,91000,108000,paused
153,167,2024-02-06 06:27:57,Machine Learning Engineer,engineering,mid,remote,full_time,121000,146000,open
154,281,2024-02-06 07:31:51,Security Engineer,engineering,senior,remote,full_time,149000,187000,closed
155,235,2024-02-06 16:03:34,People Operations Partner,operations,lead,hybrid,full_time,136000,163000,filled
156,99,2024-02-07 07:03:02,FP&A Analyst,data,mid,hybrid,full_time,134000,165000,open
157,128,2024-02-07 12:25:21,Healthcare Account Manager,operations,senior,hybrid,full_time,111000,130000,filled
158,191,2024-02-07 22:24:16,Procurement Analyst,data,mid,onsite,full_time,138000,168000,open
159,75,2024-02-08 03:12:05,People Operations Partner,operations,senior,hybrid,full_time,113000,132000,filled
160,263,2024-02-08 07:00:10,Compliance Analyst,data,senior,remote,full_time,162000,193000,filled
161,95,2024-02-09 01:44:41,Business Systems Administrator,operations,senior,remote,full_time,110000,129000,filled
162,70,2024-02-09 15:16:51,Payroll Specialist,operations,senior,remote,full_time,112000,140000,closed
163,31,2024-02-09 18:27:50,Customer Education Specialist,operations,mid,remote,full_time,92000,106000,paused
164,222,2024-02-09 22:59:11,Healthcare Account Manager,operations,senior,remote,full_time,111000,134000,filled
165,9,2024-02-10 06:31:13,Product Manager,product,senior,remote,full_time,146000,170000,filled
166,258,2024-02-10 10:07:59,Staff Data Engineer,engineering,senior,remote,full_time,160000,194000,filled
167,312,2024-02-10 10:28:44,Customer Education Specialist,operations,junior,hybrid,full_time,66000,81000,open
168,36,2024-02-10 12:19:13,Compliance Analyst,data,mid,hybrid,full_time,137000,157000,open
169,31,2024-02-10 19:29:33,Lifecycle Marketing Manager,operations,mid,onsite,part_time,85000,115000,open
170,300,2024-02-10 23:55:02,FP&A Analyst,data,junior,onsite,full_time,98000,108000,filled
171,40,2024-02-11 03:49:52,Business Intelligence Analyst,data,mid,hybrid,full_time,132000,152000,filled
172,131,2024-02-11 18:22:29,Revenue Operations Manager,operations,mid,remote,full_time,85000,110000,closed
173,279,2024-02-11 21:17:11,Revenue Operations Manager,operations,senior,hybrid,full_time,113000,138000,paused
174,45,2024-02-12 06:51:04,Solutions Architect,operations,mid,remote,full_time,91000,105000,open
175,213,2024-02-12 12:57:11,Mobile Engineer,engineering,senior,hybrid,part_time,156000,190000,filled
176,123,2024-02-12 15:34:39,Customer Success Manager,customer_success,senior,remote,full_time,108000,124000,filled
177,140,2024-02-13 16:29:35,Growth Product Manager,product,senior,hybrid,full_time,142000,178000,closed
178,298,2024-02-14 10:14:18,Data Analyst,data,mid,remote,full_time,128000,164000,open
179,208,2024-02-14 15:18:13,Senior Frontend Engineer,engineering,mid,hybrid,full_time,124000,162000,filled
180,103,2024-02-14 19:37:37,Payroll Specialist,operations,senior,onsite,part_time,109000,133000,filled
181,300,2024-02-15 12:08:39,HR Business Partner,operations,lead,onsite,contract,135000,163000,closed
182,186,2024-02-15 14:44:18,People Operations Partner,operations,mid,hybrid,full_time,93000,109000,filled
183,32,2024-02-15 16:39:03,Revenue Operations Manager,operations,senior,hybrid,full_time,113000,131000,filled
184,126,2024-02-15 16:54:14,Revenue Operations Manager,operations,senior,remote,full_time,107000,130000,closed
185,78,2024-02-15 18:49:33,Implementation Engineer,engineering,senior,hybrid,full_time,153000,202000,filled
186,206,2024-02-15 23:00:55,Implementation Consultant,operations,junior,hybrid,full_time,62000,75000,closed
187,276,2024-02-16 00:49:18,Partner Success Manager,customer_success,senior,remote,full_time,107000,132000,filled
188,13,2024-02-16 05:30:10,Talent Acquisition Specialist,operations,mid,remote,full_time,87000,103000,filled
189,250,2024-02-16 05:35:58,Business Systems Administrator,operations,lead,onsite,full_time,132000,167000,open
190,294,2024-02-17 08:59:57,Customer Success Manager,customer_success,mid,hybrid,full_time,87000,98000,filled
191,319,2024-02-17 11:44:42,Operations Excellence Lead,operations,mid,hybrid,full_time,91000,115000,closed
192,212,2024-02-17 11:48:13,Director of Customer Support,operations,lead,hybrid,full_time,129000,164000,paused
193,101,2024-02-17 13:19:31,Implementation Project Manager,operations,mid,hybrid,full_time,88000,102000,filled
194,47,2024-02-17 19:31:45,Warehouse Systems Analyst,data,mid,hybrid,full_time,134000,164000,open
195,303,2024-02-17 22:20:23,Technical Writer,operations,mid,remote,full_time,90000,110000,filled
196,133,2024-02-18 01:04:10,Business Intelligence Analyst,data,junior,hybrid,full_time,91000,113000,open
197,110,2024-02-18 14:49:52,Accounting Manager,operations,junior,hybrid,full_time,67000,75000,filled
198,235,2024-02-19 10:16:36,Talent Acquisition Specialist,operations,mid,remote,full_time,89000,112000,paused
199,229,2024-02-19 23:53:38,Technical Support Engineer,engineering,senior,onsite,full_time,155000,195000,filled
200,259,2024-02-20 12:46:57,Clinical Operations Analyst,operations,senior,remote,full_time,107000,131000,filled
201,283,2024-02-20 21:16:56,Senior Product Designer,product,junior,hybrid,full_time,83000,108000,filled
202,281,2024-02-21 00:56:02,Senior Backend Engineer,engineering,senior,hybrid,full_time,153000,183000,closed
203,55,2024-02-21 11:13:39,Platform Reliability Engineer,engineering,mid,hybrid,full_time,122000,144000,open
204,55,2024-02-21 22:05:18,Implementation Consultant,operations,lead,hybrid,full_time,133000,162000,filled
205,66,2024-02-21 22:22:54,Clinical Operations Analyst,operations,mid,onsite,full_time,89000,103000,closed
206,201,2024-02-22 01:31:37,Senior Data Scientist,data,senior,hybrid,full_time,171000,193000,closed
207,186,2024-02-22 02:25:00,Senior Product Designer,product,mid,hybrid,full_time,123000,143000,open
208,275,2024-02-22 18:30:40,Senior Backend Engineer,engineering,senior,hybrid,full_time,151000,184000,paused
209,271,2024-02-22 18:42:24,Implementation Consultant,operations,mid,remote,full_time,85000,104000,paused
210,261,2024-02-22 20:34:29,Senior Accountant,operations,senior,remote,full_time,114000,138000,closed
211,26,2024-02-23 05:44:48,Platform Reliability Engineer,engineering,mid,hybrid,full_time,132000,153000,open
212,223,2024-02-23 20:01:01,Accounting Manager,operations,lead,remote,full_time,137000,168000,filled
213,273,2024-02-24 00:47:37,Staff Data Engineer,engineering,senior,remote,full_time,148000,191000,closed
214,315,2024-02-24 05:19:01,Sales Development Representative,sales,senior,remote,full_time,123000,153000,paused
215,110,2024-02-24 10:26:39,Clinical Operations Analyst,operations,senior,hybrid,full_time,105000,130000,filled
216,249,2024-02-24 10:36:22,Healthcare Account Manager,operations,lead,remote,contract,137000,167000,filled
217,130,2024-02-25 05:58:05,Security Engineer,engineering,mid,onsite,full_time,127000,146000,open
218,52,2024-02-25 06:42:18,Business Systems Administrator,operations,mid,hybrid,full_time,89000,105000,filled
219,109,2024-02-25 17:45:36,Data Analyst,data,mid,hybrid,full_time,133000,168000,paused
220,81,2024-02-25 20:45:50,Implementation Engineer,engineering,mid,remote,full_time,122000,157000,closed
221,292,2024-02-25 21:29:19,Cloud Infrastructure Engineer,engineering,senior,hybrid,full_time,157000,192000,filled
222,57,2024-02-26 00:16:03,Senior Frontend Engineer,engineering,lead,remote,full_time,176000,212000,closed
223,42,2024-02-26 02:27:03,Technical Support Engineer,engineering,lead,hybrid,full_time,189000,214000,paused
224,186,2024-02-26 19:54:23,People Operations Partner,operations,senior,remote,full_time,113000,134000,filled
225,184,2024-02-27 03:08:29,QA Automation Engineer,engineering,senior,onsite,full_time,159000,195000,open
226,180,2024-02-27 05:06:20,Solutions Architect,operations,senior,remote,full_time,109000,134000,filled
227,48,2024-02-27 08:27:34,Regional Sales Manager,sales,lead,hybrid,full_time,156000,171000,open
228,160,2024-02-27 10:26:14,Accounting Manager,operations,mid,remote,full_time,91000,104000,closed
229,298,2024-02-27 12:52:28,Senior Data Scientist,data,senior,hybrid,contract,157000,201000,filled
230,29,2024-02-27 15:24:03,Supply Chain Coordinator,operations,senior,hybrid,full_time,107000,138000,open
231,256,2024-02-27 16:20:10,Sales Development Representative,sales,mid,remote,full_time,103000,116000,paused
232,41,2024-02-27 17:25:19,Technical Support Engineer,engineering,mid,remote,contract,123000,143000,open
233,75,2024-02-28 06:01:49,Lifecycle Marketing Manager,operations,lead,remote,contract,126000,155000,filled
234,288,2024-02-28 12:31:52,Sales Development Representative,sales,lead,remote,full_time,145000,173000,paused
235,96,2024-02-28 17:47:12,Solutions Architect,operations,lead,onsite,full_time,127000,161000,filled
236,168,2024-02-29 12:08:11,Customer Education Specialist,operations,senior,hybrid,full_time,110000,127000,filled
237,123,2024-02-29 19:49:50,Accounting Manager,operations,mid,remote,full_time,90000,110000,paused
238,197,2024-03-01 03:06:15,Revenue Operations Manager,operations,mid,onsite,full_time,86000,112000,filled
239,130,2024-03-01 04:14:25,Senior Accountant,operations,senior,remote,full_time,113000,143000,filled
240,143,2024-03-01 07:21:52,Data Analyst,data,senior,hybrid,full_time,160000,211000,open
241,262,2024-03-02 14:03:59,Senior Data Scientist,data,senior,hybrid,full_time,160000,193000,closed
242,178,2024-03-02 16:32:46,Senior DevOps Engineer,engineering,senior,onsite,full_time,151000,177000,closed
243,181,2024-03-03 14:36:59,Logistics Operations Manager,operations,mid,hybrid,full_time,92000,106000,filled
244,258,2024-03-04 05:15:56,Senior Product Designer,product,senior,hybrid,full_time,153000,182000,filled
245,137,2024-03-04 09:26:48,Technical Program Manager,operations,mid,onsite,full_time,89000,102000,filled
246,264,2024-03-04 10:05:51,Revenue Operations Manager,operations,mid,remote,part_time,85000,106000,paused
247,231,2024-03-04 23:22:25,People Operations Partner,operations,mid,onsite,contract,87000,105000,open
248,283,2024-03-05 09:21:44,Product Manager,product,mid,onsite,full_time,113000,137000,paused
249,147,2024-03-05 17:29:38,Staff Data Engineer,engineering,senior,onsite,full_time,162000,194000,open
250,179,2024-03-05 18:07:52,Regional Sales Manager,sales,mid,remote,contract,97000,126000,closed
251,42,2024-03-05 19:09:24,Enterprise Account Executive,operations,mid,remote,contract,94000,109000,filled
252,36,2024-03-05 21:53:43,Senior Backend Engineer,engineering,senior,hybrid,contract,157000,200000,closed
253,35,2024-03-06 03:55:00,Customer Education Specialist,operations,senior,hybrid,full_time,111000,127000,filled
254,203,2024-03-07 04:13:22,Logistics Operations Manager,operations,junior,hybrid,full_time,67000,74000,filled
255,105,2024-03-07 06:45:03,Solutions Consultant,operations,mid,onsite,full_time,85000,107000,filled
256,93,2024-03-07 18:43:46,Staff Data Engineer,engineering,mid,hybrid,full_time,129000,156000,open
257,193,2024-03-08 20:23:13,Senior Product Designer,product,senior,remote,full_time,139000,179000,open
258,128,2024-03-09 13:55:21,Implementation Consultant,operations,mid,remote,full_time,93000,102000,open
259,44,2024-03-09 15:12:31,Director of Customer Support,operations,junior,remote,full_time,64000,83000,filled
260,179,2024-03-10 06:59:09,Partner Success Manager,customer_success,junior,remote,full_time,58000,72000,open
261,177,2024-03-10 12:15:21,Accounting Manager,operations,senior,remote,full_time,115000,132000,closed
262,45,2024-03-10 16:57:10,Solutions Architect,operations,junior,onsite,full_time,61000,79000,filled
263,87,2024-03-10 23:04:36,Enterprise Account Executive,operations,senior,hybrid,full_time,106000,142000,paused
264,76,2024-03-11 12:38:30,Mobile Engineer,engineering,mid,hybrid,full_time,130000,156000,filled
265,223,2024-03-11 20:28:44,Technical Support Engineer,engineering,senior,remote,contract,155000,201000,open
266,80,2024-03-12 15:12:19,QA Automation Engineer,engineering,mid,hybrid,full_time,131000,146000,filled
267,10,2024-03-12 15:54:34,Supply Chain Coordinator,operations,mid,onsite,full_time,91000,110000,open
268,86,2024-03-12 18:17:28,Implementation Engineer,engineering,junior,onsite,full_time,92000,115000,closed
269,151,2024-03-13 16:12:16,Senior Accountant,operations,senior,hybrid,full_time,108000,134000,closed
270,247,2024-03-13 22:51:34,Senior Backend Engineer,engineering,lead,onsite,full_time,178000,221000,paused
271,17,2024-03-13 23:17:42,Platform Reliability Engineer,engineering,junior,hybrid,full_time,95000,117000,filled
272,282,2024-03-14 00:17:07,Implementation Engineer,engineering,mid,hybrid,full_time,120000,145000,open
273,106,2024-03-14 07:29:14,Cloud Infrastructure Engineer,engineering,lead,onsite,full_time,186000,223000,filled
274,110,2024-03-14 16:28:54,Partner Success Manager,customer_success,senior,remote,part_time,102000,134000,paused
275,5,2024-03-15 15:13:58,Data Analyst,data,mid,remote,full_time,129000,169000,open
276,89,2024-03-15 17:16:07,Senior Product Designer,product,mid,remote,full_time,119000,152000,filled
277,151,2024-03-15 23:26:54,Operations Excellence Lead,operations,senior,hybrid,full_time,114000,141000,open
278,201,2024-03-15 23:31:01,Business Systems Administrator,operations,senior,hybrid,full_time,114000,126000,open
279,246,2024-03-16 09:40:23,Growth Product Manager,product,senior,hybrid,contract,151000,187000,filled
