application_id,job_id,candidate_id,applied_at,source,stage,score
134,1755,5991,2025-09-11 21:22:03,job_board,applied,0.461
135,280,1874,2024-04-26 10:53:33,linkedin,applied,0.954
136,1794,4209,2025-10-29 14:12:06,linkedin,offer,0.754
137,42,379,2024-02-13 04:11:11,linkedin,applied,0.737
138,70,4327,2024-01-26 08:53:41,recruiter,applied,0.966
139,710,4792,2024-09-10 02:41:12,job_board,applied,0.636
140,1631,3395,2025-07-31 20:14:02,referral,interview,0.547
141,1729,4467,2025-10-08 16:07:52,job_board,applied,0.356
142,1267,5706,2025-03-23 05:55:46,job_board,applied,0.526
143,74,8437,2024-02-13 19:29:08,linkedin,applied,0.651
144,1749,3555,2025-09-28 10:17:53,linkedin,screened,0.351
145,526,6376,2024-07-15 04:03:31,job_board,applied,0.892
146,1490,3946,2025-06-16 15:47:30,linkedin,applied,0.695
147,559,8101,2024-07-15 21:04:28,job_board,applied,0.904
148,1132,5064,2025-03-12 20:00:37,job_board,interview,0.797
149,190,6810,2024-03-25 08:59:57,job_board,interview,0.745
150,1996,2611,2026-01-17 01:11:23,linkedin,applied,0.798
151,186,5946,2024-03-12 23:00:55,job_board,applied,0.816
152,1912,2282,2025-12-20 09:26:42,job_board,applied,0.603
153,1817,5069,2025-10-27 18:21:59,job_board,applied,0.802
154,301,1741,2024-04-11 16:15:04,job_board,interview,0.896
155,1391,5221,2025-06-15 08:18:52,outbound,applied,0.823
156,688,1612,2024-09-24 03:34:25,job_board,interview,0.775
157,623,4568,2024-08-03 08:16:20,job_board,screened,0.876
158,655,4356,2024-08-02 04:50:01,job_board,interview,0.482
159,477,7551,2024-07-04 18:10:12,linkedin,applied,0.554
160,1923,940,2025-11-23 20:54:11,job_board,applied,0.713
161,86,2112,2024-02-26 19:15:52,job_board,applied,0.478
162,709,6391,2024-09-24 13:28:16,job_board,interview,0.788
163,718,8237,2024-08-25 08:07:52,recruiter,applied,0.825
164,838,7267,2024-11-04 00:45:07,referral,interview,0.366
165,603,5036,2024-08-15 20:44:48,job_board,applied,0.766
166,1328,2407,2025-04-16 15:57:30,outbound,applied,0.369
167,1835,3937,2025-11-13 20:32:04,linkedin,offer,0.38
168,1334,7709,2025-04-20 01:58:55,outbound,applied,0.444
169,442,1900,2024-06-09 06:16:26,referral,offer,0.494
170,1994,8868,2025-12-29 13:18:01,job_board,applied,0.894
171,811,2485,2024-10-03 14:08:35,referral,applied,0.701
172,621,4350,2024-08-23 04:00:56,job_board,applied,0.385
173,1365,5258,2025-04-28 13:54:23,job_board,applied,0.956
174,1950,2657,2026-01-11 14:54:53,recruiter,applied,0.644
175,643,1366,2024-07-29 13:16:37,outbound,interview,0.697
176,402,2793,2024-05-28 02:08:32,job_board,applied,0.796
177,1564,30,2025-07-27 09:04:01,outbound,applied,0.878
178,955,5737,2024-12-31 17:01:09,linkedin,screened,0.721
179,1453,2334,2025-06-24 23:43:43,outbound,interview,0.744
180,908,3989,2024-12-09 16:16:33,referral,screened,0.404
181,71,2737,2024-02-11 10:22:06,referral,applied,0.384
182,724,1807,2024-10-05 12:54:04,referral,applied,0.514
183,1712,8472,2025-09-14 09:17:32,linkedin,applied,0.696
184,1873,3076,2025-11-30 09:28:18,job_board,applied,0.915
185,728,5237,2024-09-13 06:25:06,linkedin,screened,0.459
186,1387,3057,2025-05-30 00:10:39,referral,applied,0.942
187,192,3652,2024-03-18 11:48:13,job_board,screened,0.516
188,435,2238,2024-05-31 14:30:39,job_board,offer,0.866
189,1397,8848,2025-06-14 04:05:56,linkedin,applied,0.53
190,84,5424,2024-02-01 18:23:14,job_board,applied,0.605
191,1495,3307,2025-07-24 08:56:02,job_board,applied,0.793
192,1927,4991,2025-11-30 09:36:25,job_board,applied,0.906
193,143,8624,2024-03-07 06:45:29,referral,applied,0.505
194,1165,5586,2025-03-20 06:41:58,job_board,applied,0.836
195,708,8474,2024-09-01 22:26:28,job_board,applied,0.976
196,1287,5975,2025-04-07 09:00:21,referral,screened,0.602
197,1791,6210,2025-11-03 00:01:29,linkedin,screened,0.412
198,162,3363,2024-03-08 15:16:51,job_board,applied,0.71
199,1339,4728,2025-05-26 11:43:12,job_board,applied,0.5
200,366,5439,2024-05-29 12:35:10,referral,applied,0.408
201,1068,7396,2025-02-28 19:16:59,linkedin,applied,0.73
202,885,6677,2024-12-04 03:16:21,outbound,applied,0.572
203,1009,2916,2025-01-28 17:02:42,job_board,screened,0.541
204,1532,3867,2025-08-13 10:55:59,job_board,applied,0.923
205,1217,3311,2025-03-13 19:01:24,job_board,screened,0.419
206,693,8867,2024-09-05 01:04:45,job_board,screened,0.631
207,1307,1862,2025-04-22 13:34:57,job_board,applied,0.799
208,1195,5226,2025-03-08 03:59:49,referral,screened,0.741
209,138,2299,2024-02-17 03:43:50,linkedin,interview,0.754
210,1227,1184,2025-04-13 21:39:57,linkedin,screened,0.857
211,669,1229,2024-08-20 19:57:53,job_board,applied,0.564
212,293,183,2024-03-26 18:27:38,job_board,applied,0.635
213,1054,7657,2025-02-02 22:59:06,referral,offer,0.557
214,1034,7504,2025-01-25 05:51:12,outbound,applied,0.511
215,1461,12,2025-07-12 11:58:52,referral,interview,0.581
216,865,2409,2024-11-22 04:31:36,linkedin,interview,0.563
217,1486,3821,2025-07-05 03:39:09,job_board,screened,0.617
218,565,1388,2024-08-09 13:13:46,job_board,applied,0.89
219,1212,3278,2025-03-15 21:05:33,referral,offer,0.57
220,1926,8322,2025-11-30 08:13:05,outbound,interview,0.63
221,1174,3490,2025-03-15 01:55:31,job_board,interview,0.622
222,1363,4581,2025-05-22 09:14:20,job_board,applied,0.528
223,736,7594,2024-09-09 11:58:19,recruiter,screened,0.653
224,1351,19,2025-04-28 11:44:24,outbound,applied,0.896
225,1670,7390,2025-08-10 07:01:35,referral,interview,0.523
226,1747,4095,2025-09-22 21:54:58,job_board,applied,0.657
227,1833,5971,2025-11-07 20:21:13,recruiter,screened,0.654
228,614,8627,2024-08-24 08:38:47,referral,applied,0.786
229,1693,6202,2025-08-30 17:06:39,job_board,screened,0.665
230,697,2713,2024-09-13 02:29:56,job_board,applied,0.493
231,1744,7232,2025-09-14 19:04:33,job_board,screened,0.582
232,12,2150,2024-01-12 07:40:29,job_board,offer,0.459
233,1818,3466,2025-10-24 21:44:10,job_board,applied,0.405
234,433,5824,2024-05-27 03:00:04,job_board,applied,0.453
235,405,4055,2024-05-07 16:48:21,job_board,applied,0.412
236,1119,7675,2025-02-10 02:00:34,referral,applied,0.408
237,1028,2203,2025-01-19 09:26:40,job_board,applied,0.439
238,315,5763,2024-04-11 10:20:44,job_board,applied,0.586
239,1070,2143,2025-02-10 04:52:43,recruiter,applied,0.44
240,1603,5331,2025-08-29 06:36:40,job_board,screened,0.657
241,971,8412,2025-01-25 22:45:16,job_board,interview,0.511
242,1163,8747,2025-03-08 03:26:50,outbound,interview,0.878
243,1697,6846,2025-08-28 12:41:05,linkedin,applied,0.423
244,360,5712,2024-04-23 22:08:54,referral,applied,0.801
245,651,4077,2024-08-20 05:52:53,job_board,screened,0.396
246,1789,2830,2025-10-21 05:46:24,outbound,applied,0.96
247,323,351,2024-04-25 08:12:30,job_board,applied,0.798
248,508,4572,2024-06-17 07:27:34,linkedin,applied,0.893
249,549,6686,2024-07-27 09:18:30,job_board,offer,0.408
250,1649,7521,2025-08-18 05:26:37,job_board,applied,0.734
251,287,8537,2024-04-10 23:41:39,referral,screened,0.354
252,750,1642,2024-10-09 09:32:29,job_board,screened,0.584
253,810,8341,2024-10-30 16:04:45,referral,applied,0.969
254,163,2498,2024-03-03 18:27:50,job_board,screened,0.581
255,234,6428,2024-04-06 12:31:52,linkedin,applied,0.713
256,753,6711,2024-09-12 02:05:50,referral,screened,0.676
257,176,5830,2024-02-24 15:34:39,job_board,applied,0.547
258,1959,3775,2025-12-18 04:20:06,referral,applied,0.387
259,903,1088,2024-12-14 17:56:59,linkedin,applied,0.899
260,14,4507,2024-02-10 14:40:31,job_board,offer,0.77
261,1203,771,2025-03-07 08:11:49,linkedin,offer,0.966
262,1511,5646,2025-07-03 06:29:16,linkedin,interview,0.739
263,1216,2387,2025-04-04 08:14:26,outbound,screened,0.417
264,1143,1745,2025-02-27 05:35:29,referral,interview,0.629
265,185,5074,2024-03-14 18:49:33,referral,applied,0.517
266,1460,2237,2025-06-08 09:52:07,referral,applied,0.94
267,1944,8219,2025-12-24 11:32:49,job_board,applied,0.484
268,729,893,2024-09-26 11:38:25,job_board,applied,0.63
269,244,7840,2024-03-24 05:15:56,referral,screened,0.945
270,428,6960,2024-06-16 00:08:54,linkedin,applied,0.404
271,1321,2755,2025-05-03 22:12:00,job_board,applied,0.819
272,1286,5119,2025-04-19 10:05:00,job_board,screened,0.754
273,1778,3297,2025-09-29 02:30:31,job_board,interview,0.622
274,813,2150,2024-10-29 02:15:37,job_board,interview,0.414
275,1770,2794,2025-10-08 21:09:53,referral,applied,0.878
276,552,3075,2024-07-26 10:01:09,linkedin,interview,0.367
277,1025,4772,2025-02-02 16:27:24,job_board,screened,0.845
278,1317,5220,2025-04-24 04:35:54,linkedin,offer,0.731
279,555,7281,2024-07-15 16:28:37,outbound,screened,0.471
280,738,5141,2024-09-12 08:08:06,referral,applied,0.703
281,1656,7049,2025-08-23 20:46:37,job_board,interview,0.787
282,1156,8285,2025-03-19 21:57:12,job_board,offer,0.595
283,1226,7977,2025-03-16 18:57:33,job_board,applied,0.854
284,1248,3675,2025-03-17 16:20:26,job_board,applied,0.952
285,1583,4696,2025-08-21 13:28:50,referral,applied,0.818
286,1944,7256,2025-12-08 11:32:49,job_board,interview,0.351
287,800,5924,2024-10-10 10:21:15,referral,applied,0.565
288,710,1175,2024-08-30 02:41:12,linkedin,screened,0.925
289,1827,8586,2025-10-29 21:45:08,job_board,applied,0.563
290,959,6904,2024-12-17 11:03:13,linkedin,applied,0.47
291,1860,6080,2025-11-30 23:29:20,job_board,interview,0.441
292,1764,8907,2025-10-03 13:41:14,referral,applied,0.855
293,1475,1504,2025-06-08 04:06:19,outbound,screened,0.503
294,1441,7969,2025-06-18 09:40:49,outbound,interview,0.638
295,1886,2942,2025-11-10 08:09:55,linkedin,applied,0.667
296,548,7315,2024-07-10 08:17:49,outbound,screened,0.956
297,907,682,2024-12-21 17:22:17,job_board,applied,0.758
298,1092,5006,2025-01-31 08:59:11,referral,applied,0.955
299,389,995,2024-05-25 14:43:30,job_board,applied,0.482
300,1035,8539,2025-02-09 13:26:53,recruiter,interview,0.892
301,1312,4427,2025-04-20 08:47:29,recruiter,offer,0.48
302,1007,7695,2025-01-20 08:05:03,job_board,screened,0.524
303,1307,6648,2025-04-06 13:34:57,outbound,applied,0.966
304,204,4347,2024-03-13 22:05:18,job_board,applied,0.662
305,983,1701,2025-01-09 03:14:09,linkedin,applied,0.577
306,1859,4208,2025-11-13 12:40:36,job_board,screened,0.761
307,522,2881,2024-07-21 14:25:58,outbound,applied,0.841
308,912,2287,2024-12-24 10:41:13,job_board,applied,0.636
309,1249,3029,2025-04-01 18:52:16,outbound,applied,0.877
310,1252,2069,2025-04-22 06:41:19,job_board,applied,0.754
311,362,7562,2024-05-23 04:23:06,outbound,offer,0.891
312,226,8183,2024-03-11 05:06:20,job_board,applied,0.948
313,1507,1657,2025-07-04 11:42:20,linkedin,applied,0.754
314,1067,1911,2025-02-10 17:47:54,outbound,applied,0.799
315,1814,307,2025-10-22 15:30:28,job_board,interview,0.401
316,1981,3766,2026-01-05 21:35:33,job_board,interview,0.85
317,334,5615,2024-04-10 08:29:52,job_board,screened,0.965
318,722,2374,2024-09-28 10:42:17,referral,applied,0.648
319,1641,4742,2025-08-27 01:06:49,job_board,applied,0.606
320,589,3022,2024-07-18 14:08:43,outbound,screened,0.79
321,397,25,2024-06-02 06:51:45,linkedin,interview,0.484
322,313,2142,2024-05-07 19:09:30,job_board,offer,0.424
323,1001,6883,2025-01-03 17:34:29,job_board,applied,0.935
324,764,7944,2024-10-02 00:04:34,recruiter,applied,0.392
325,1859,3815,2025-11-14 12:40:36,referral,applied,0.788
326,1930,5226,2025-12-04 06:22:28,outbound,interview,0.54
327,166,4931,2024-02-24 10:07:59,referral,screened,0.357
328,1807,2727,2025-10-14 09:36:03,job_board,applied,0.5
329,180,6038,2024-02-29 19:37:37,linkedin,applied,0.872
330,1438,3665,2025-06-23 10:55:37,referral,applied,0.363
331,1918,463,2025-11-16 16:17:29,job_board,applied,0.484
332,692,3471,2024-09-09 19:56:28,referral,applied,0.815
333,318,1553,2024-04-21 11:54:14,linkedin,interview,0.969
334,132,4302,2024-03-06 20:17:58,linkedin,interview,0.769
335,685,4169,2024-09-23 17:28:03,outbound,applied,0.686
336,1905,4213,2025-12-01 18:34:01,job_board,applied,0.595
337,918,1548,2024-11-21 17:23:04,job_board,applied,0.811
338,836,8525,2024-10-29 02:16:53,linkedin,applied,0.484
339,14,1050,2024-01-14 14:40:31,linkedin,interview,0.402
340,1333,2638,2025-05-07 21:08:32,linkedin,screened,0.792
341,377,2925,2024-04-29 12:50:51,recruiter,offer,0.922
342,1379,4097,2025-05-01 04:28:32,job_board,screened,0.899
343,1657,3840,2025-08-31 21:10:09,referral,applied,0.588
344,1549,8887,2025-07-22 09:05:57,referral,applied,0.941
345,1038,7649,2025-01-18 09:03:49,job_board,applied,0.401
346,1301,495,2025-04-01 07:42:57,referral,screened,0.391
347,788,5355,2024-10-30 09:36:51,recruiter,applied,0.693
348,1418,4640,2025-06-21 00:58:37,recruiter,applied,0.786
349,1364,8365,2025-05-26 12:26:08,referral,interview,0.523
350,377,3073,2024-05-05 12:50:51,job_board,applied,0.72
351,650,4115,2024-08-27 05:26:11,linkedin,applied,0.386
352,1551,8358,2025-08-01 15:27:21,linkedin,applied,0.916
353,878,4252,2024-10-24 20:18:00,referral,applied,0.702
354,472,5460,2024-07-08 18:15:59,job_board,applied,0.945
355,1988,2804,2026-01-13 20:18:42,job_board,applied,0.716
356,1736,7047,2025-09-18 13:21:28,job_board,applied,0.884
357,1549,735,2025-08-13 09:05:57,job_board,applied,0.949
358,844,8788,2024-11-13 20:08:45,job_board,offer,0.646
359,1108,1549,2025-02-19 01:28:41,job_board,screened,0.558
360,1892,5190,2025-12-11 08:59:15,referral,applied,0.553
361,1054,610,2025-02-16 22:59:06,job_board,interview,0.583
362,1651,869,2025-08-30 16:54:35,linkedin,applied,0.517
363,1689,6332,2025-09-15 01:45:59,job_board,offer,0.943
364,1610,7078,2025-07-30 23:42:18,job_board,applied,0.682
365,1202,3142,2025-04-05 17:59:05,job_board,interview,0.732
366,691,508,2024-09-19 17:49:03,referral,applied,0.393
367,679,284,2024-08-24 23:35:11,job_board,applied,0.906
368,1623,8412,2025-07-29 05:12:27,job_board,screened,0.401
369,836,6770,2024-11-16 02:16:53,referral,interview,0.675
370,495,3477,2024-06-29 03:28:08,referral,applied,0.895
371,367,2294,2024-04-28 13:02:49,job_board,screened,0.416
372,1232,6318,2025-04-16 22:55:57,recruiter,interview,0.874
373,1920,8042,2025-12-13 08:01:32,linkedin,interview,0.801
374,758,5923,2024-09-15 06:44:16,referral,applied,0.691
375,1305,7408,2025-04-29 08:19:00,recruiter,screened,0.561
376,618,7656,2024-08-23 14:22:21,linkedin,interview,0.806
377,798,2734,2024-10-11 16:46:06,referral,interview,0.943
378,817,6593,2024-11-01 03:27:05,recruiter,applied,0.453
379,720,2122,2024-08-27 22:24:28,referral,screened,0.354
380,1695,2008,2025-08-29 08:22:57,job_board,offer,0.353
381,1814,8938,2025-10-19 15:30:28,job_board,offer,0.973
382,539,2945,2024-06-27 15:22:44,job_board,offer,0.701
383,721,7377,2024-09-01 04:06:03,job_board,applied,0.669
384,40,3108,2024-02-04 14:40:03,job_board,applied,0.47
385,1513,8340,2025-07-17 08:33:03,referral,applied,0.543
386,1416,2504,2025-05-30 02:13:48,job_board,applied,0.733
387,1671,154,2025-08-10 07:41:18,job_board,screened,0.444
388,1120,4169,2025-02-17 14:03:25,job_board,screened,0.665
389,1820,5385,2025-10-21 22:42:07,job_board,applied,0.36
390,283,3459,2024-04-30 22:54:35,recruiter,applied,0.818
391,747,2400,2024-09-16 16:25:47,job_board,applied,0.476
392,896,7452,2024-11-27 01:09:08,recruiter,applied,0.967
393,1531,3373,2025-07-02 09:38:37,linkedin,applied,0.956
394,439,6303,2024-05-23 11:26:56,job_board,interview,0.408
395,654,820,2024-08-28 03:19:47,job_board,applied,0.651
396,189,7866,2024-03-08 05:35:58,linkedin,interview,0.53
397,1889,6736,2025-11-15 17:26:19,job_board,screened,0.697
398,907,1516,2024-11-27 17:22:17,job_board,applied,0.71
399,23,4731,2024-02-03 06:33:13,linkedin,applied,0.828
400,471,6749,2024-06-16 06:24:03,outbound,screened,0.753
401,1141,7129,2025-03-17 18:59:29,job_board,applied,0.458
402,983,3786,2024-12-26 03:14:09,job_board,applied,0.682
403,1020,1049,2025-02-12 11:54:01,linkedin,screened,0.941
404,125,536,2024-03-12 07:58:28,job_board,applied,0.371
405,1756,8976,2025-10-02 18:06:23,outbound,screened,0.377
406,1659,978,2025-08-14 03:10:32,job_board,screened,0.505
407,433,3138,2024-06-03 03:00:04,linkedin,interview,0.831
408,734,7707,2024-10-07 03:11:28,referral,applied,0.979
409,175,8563,2024-03-06 12:57:11,recruiter,screened,0.464
410,256,4246,2024-04-04 18:43:46,linkedin,applied,0.533
411,1693,6089,2025-09-02 17:06:39,job_board,applied,0.893
412,228,4609,2024-03-24 10:26:14,referral,interview,0.761
413,701,980,2024-08-29 01:43:47,recruiter,applied,0.546
414,1987,4420,2026-01-03 12:54:51,job_board,screened,0.79
415,650,7038,2024-08-06 05:26:11,job_board,applied,0.463
416,1374,5633,2025-05-30 07:25:02,referral,applied,0.798
417,211,5046,2024-04-04 05:44:48,job_board,applied,0.419
418,1748,7493,2025-09-22 08:41:06,job_board,applied,0.711
419,1841,1699,2025-10-11 22:54:51,job_board,applied,0.658
420,1826,5109,2025-10-21 18:03:30,job_board,offer,0.625
421,1266,1686,2025-04-04 16:24:50,linkedin,screened,0.694
422,1945,562,2025-12-26 18:49:32,referral,applied,0.973
423,1385,8579,2025-05-09 07:05:26,job_board,applied,0.687
424,753,7004,2024-10-08 02:05:50,job_board,screened,0.446
425,1796,8988,2025-09-25 06:41:04,referral,screened,0.47
426,547,4127,2024-07-12 07:15:04,job_board,applied,0.502
427,1688,5186,2025-08-22 15:37:18,job_board,applied,0.811
428,1862,554,2025-11-27 13:33:11,job_board,applied,0.466
429,904,1685,2024-11-28 02:49:50,outbound,screened,0.481
430,465,758,2024-07-03 10:39:28,linkedin,offer,0.966
431,320,3063,2024-04-24 17:45:06,referral,applied,0.827
432,1075,3666,2025-02-23 07:35:23,job_board,applied,0.59
433,1345,1908,2025-05-30 12:58:06,job_board,applied,0.718
434,1181,7002,2025-03-26 22:45:11,job_board,applied,0.644
435,1302,5468,2025-05-01 15:20:45,job_board,applied,0.739
436,51,3911,2024-02-17 13:41:10,referral,screened,0.951
437,95,3603,2024-02-28 04:53:18,recruiter,applied,0.845
438,527,5098,2024-07-19 18:23:20,job_board,applied,0.68
439,1799,3403,2025-10-18 09:07:06,job_board,interview,0.442
440,1009,6956,2025-01-23 17:02:42,referral,applied,0.39
441,671,7213,2024-08-15 05:17:58,job_board,applied,0.657
442,1331,1657,2025-05-09 21:04:52,job_board,interview,0.392
443,858,8673,2024-11-24 01:36:01,job_board,screened,0.967
